stock,quarter,sales,operatingProfit,netIncome,operatingMargin,netProfitMargin,PER,PBR,ROE
티비에이치글로벌,20년 3월,367,-66,-244,-18.04,-66.40,-1.08,0.32,-0.26
티비에이치글로벌,20년 6월,497,20,-57,3.96,-11.51,-6.25,0.46,-0.07
티에이치엔,09년 9월,225,5,-3,2.34,-1.38,-60.50,0.51,-0.01
티에이치엔,09년 12월,-,-,-,-,-,-,0.45,-
티에이치엔,10년 3월,258,6,8,2.49,3.23,18.88,0.45,0.03
티에이치엔,10년 6월,272,8,8,2.80,2.88,21.69,0.45,0.02
티에이치엔,10년 9월,240,4,6,1.67,2.53,37.54,0.59,0.02
티에이치엔,10년 12월,-,-,-,-,-,-,0.72,-
티에이치엔,11년 3월,273,-12,1,-4.21,0.35,305.18,0.66,0
티에이치엔,11년 6월,384,22,17,5.76,4.33,17.72,0.59,0.05
티에이치엔,11년 9월,330,14,14,4.21,4.14,17.37,0.48,0.04
티에이치엔,11년 12월,-,-,-,-,-,-,0.39,-
티에이치엔,12년 3월,378,-3,4,-0.75,0.98,72.44,-,-
