title,startDate,endDate,raw,scale
S&T중공업,2020.11.24,2020.12.04,"[225, 218, 263, 198, 141, 127, 204, 266, 223, 192, 265]","[0.7050359712230215, 0.6546762589928058, 0.9784172661870504, 0.5107913669064749, 0.10071942446043165, 0.0, 0.5539568345323741, 1.0, 0.6906474820143885, 0.4676258992805755, 0.9928057553956835]"
S&T홀딩스,2020.11.24,2020.12.04,"[225, 218, 263, 198, 141, 127, 204, 266, 223, 192, 265]","[0.7050359712230215, 0.6546762589928058, 0.9784172661870504, 0.5107913669064749, 0.10071942446043165, 0.0, 0.5539568345323741, 1.0, 0.6906474820143885, 0.4676258992805755, 0.9928057553956835]"
NAVER,2020.11.24,2020.12.04,"[5, 3, 1, 0, 0, 2, 3, 6, 1, 1, 4]","[0.8333333333333334, 0.5, 0.16666666666666666, 0.0, 0.0, 0.3333333333333333, 0.5, 1.0, 0.16666666666666666, 0.16666666666666666, 0.6666666666666666]"
NICE,2020.11.24,2020.12.04,"[2, 0, 7, 1, 1, 0, 1, 0, 0, 0, 1]","[0.2857142857142857, 0.0, 1.0, 0.14285714285714285, 0.14285714285714285, 0.0, 0.14285714285714285, 0.0, 0.0, 0.0, 0.14285714285714285]"
OCI,2020.11.24,2020.12.04,"[1, 1, 1, 0, 0, 0, 81, 3, 3, 5, 2]","[0.012345679012345678, 0.012345679012345678, 0.012345679012345678, 0.0, 0.0, 0.0, 1.0, 0.037037037037037035, 0.037037037037037035, 0.06172839506172839, 0.024691358024691357]"
SBS,2020.11.24,2020.12.04,"[18, 17, 34, 12, 7, 8, 29, 26, 28, 40, 30]","[0.3333333333333333, 0.30303030303030304, 0.8181818181818182, 0.15151515151515152, 0.0, 0.030303030303030304, 0.6666666666666666, 0.5757575757575758, 0.6363636363636364, 1.0, 0.696969696969697]"
S-Oil,2020.11.24,2020.12.04,"[8, 5, 4, 3, 0, 0, 33, 28, 3, 10, 10]","[0.24242424242424243, 0.15151515151515152, 0.12121212121212122, 0.09090909090909091, 0.0, 0.0, 1.0, 0.8484848484848485, 0.09090909090909091, 0.30303030303030304, 0.30303030303030304]"
SK이노베이션,2020.11.24,2020.12.04,"[14, 62, 61, 13, 3, 11, 17, 19, 17, 76, 7]","[0.1506849315068493, 0.8082191780821918, 0.7945205479452054, 0.136986301369863, 0.0, 0.1095890410958904, 0.1917808219178082, 0.2191780821917808, 0.1917808219178082, 1.0, 0.0547945205479452]"
SK,2020.11.24,2020.12.04,"[425, 550, 398, 461, 73, 170, 465, 340, 509, 1142, 359]","[0.3292797006548176, 0.4462114125350795, 0.304022450888681, 0.362956033676333, 0.0, 0.09073900841908325, 0.3666978484565014, 0.24976613657623947, 0.4078578110383536, 1.0, 0.2675397567820393]"
SG세계물산,2020.11.24,2020.12.04,"[0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
SK텔레콤,2020.11.24,2020.12.04,"[39, 45, 69, 69, 4, 4, 36, 7, 64, 111, 14]","[0.32710280373831774, 0.38317757009345793, 0.6074766355140186, 0.6074766355140186, 0.0, 0.0, 0.29906542056074764, 0.028037383177570093, 0.5607476635514018, 1.0, 0.09345794392523364]"
SH에너지화학,2020.11.24,2020.12.04,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
SK가스,2020.11.24,2020.12.04,"[1, 2, 0, 0, 0, 0, 37, 2, 0, 4, 1]","[0.02702702702702703, 0.05405405405405406, 0.0, 0.0, 0.0, 0.0, 1.0, 0.05405405405405406, 0.0, 0.10810810810810811, 0.02702702702702703]"
SK네트웍스,2020.11.24,2020.12.04,"[0, 1, 1, 2, 0, 0, 7, 1, 1, 59, 12]","[0.0, 0.01694915254237288, 0.01694915254237288, 0.03389830508474576, 0.0, 0.0, 0.11864406779661017, 0.01694915254237288, 0.01694915254237288, 1.0, 0.2033898305084746]"
SKC,2020.11.24,2020.12.04,"[1, 1, 0, 2, 0, 0, 2, 3, 0, 5, 0]","[0.2, 0.2, 0.0, 0.4, 0.0, 0.0, 0.4, 0.6, 0.0, 1.0, 0.0]"
SK디스커버리,2020.11.24,2020.12.04,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
SK렌터카,2020.11.24,2020.12.04,"[0, 0, 0, 0, 0, 0, 2, 0, 0, 39, 2]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05128205128205128, 0.0, 0.0, 1.0, 0.05128205128205128]"
SK증권,2020.11.24,2020.12.04,"[5, 8, 3, 6, 2, 1, 48, 7, 3, 4, 3]","[0.0851063829787234, 0.14893617021276595, 0.0425531914893617, 0.10638297872340426, 0.02127659574468085, 0.0, 1.0, 0.1276595744680851, 0.0425531914893617, 0.06382978723404255, 0.0425531914893617]"
SK디앤디,2020.11.24,2020.12.04,"[1, 22, 3, 2, 0, 0, 0, 0, 0, 1, 0]","[0.045454545454545456, 1.0, 0.13636363636363635, 0.09090909090909091, 0.0, 0.0, 0.0, 0.0, 0.0, 0.045454545454545456, 0.0]"
